Rank	Score	Type	ID	Name	Description
1357	21.19	cp	BRD-K00610438	altanserin	Serotonin receptor antagonist
1361	21.16	cp	BRD-K64881305	ispinesib	Kinesin-like spindle protein inhibitor
1362	21.15	cp	BRD-K66956375	oleoylethanolamide	Cannabinoid receptor agonist
1364	21.07	cp	BRD-K76133116	benzydamine	Membrane integrity inhibitor
1368	21.01	cp	BRD-K43164539	cholic-acid	Bile acid
1370	21.01	cp	BRD-K32836707	CAY-10577	Casein kinase inhibitor
1376	20.86	cp	BRD-K57011718	UK-356618	Metalloproteinase inhibitor
1378	20.84	cp	BRD-K99595596	salsolinol	Monoamine oxidase inhibitor
1380	20.77	cp	BRD-K89046952	ciclacillin	Bacterial cell wall synthesis inhibitor
1382	20.73	cp	BRD-A41304429	practolol	Adrenergic receptor antagonist
1393	20.29	cp	BRD-K77133231	PD-169316	p38 MAPK inhibitor
1395	20.25	cp	BRD-K17868609	BRL-54443	Serotonin receptor agonist
1406	19.91	cp	BRD-A39522003	OMDM-2	FAAH inhibitor
1411	19.79	cp	BRD-A10523515	GSK-429286A	Rho associated kinase inhibitor
1413	19.78	cp	BRD-K15108141	gemcitabine	Ribonucleotide reductase inhibitor
1415	19.64	cp	BRD-K17823458	danoprevir	HCV inhibitor
1421	19.52	cp	BRD-K26674531	GR-235	Estrogen receptor agonist
1423	19.44	cp	BRD-K28029915	dolasetron	Serotonin receptor antagonist
1437	19.2	cp	BRD-A75478957	PD-166793	Metalloproteinase inhibitor
1441	19.13	cp	BRD-K52512893	SC-19220	Prostanoid receptor antagonist
1442	19.1	cp	BRD-K93331255	lypressin	Vasopressin receptor agonist
1443	19.08	cp	BRD-K73838513	cinacalcet	Calcium channel activator
1445	19.03	cp	BRD-A29644307	nomifensine	Dopamine uptake inhibitor
1448	18.93	cp	BRD-K85383046	IAA-94	Chloride channel blocker
1451	18.91	cp	BRD-K66766661	17-beta-estradiol	Estrogen receptor agonist
1452	18.91	cp	BRD-K00184207	GR-206	Aryl hydrocarbon receptor ligand
1453	18.89	cp	BRD-K02590140	O-2050	Cannabinoid receptor antagonist
1455	18.8	cp	BRD-K60923938	veratridine	Sodium channel activator
1456	18.78	cp	BRD-K06198550	isorotenone	Mitochondrial complex I inhibitor
1462	18.63	cp	BRD-K35430135	SR-59230A	Adrenergic receptor antagonist
1468	18.52	cp	BRD-K85603128	resorcinol	Phosphodiesterase inhibitor
1473	18.39	cp	BRD-K67847053	guanabenz	Adrenergic receptor agonist
1474	18.33	cp	BRD-A55815733	phylloquinone	Vitamin K
1476	18.27	cp	BRD-K50325075	UCL-2077	Slow after hyperpolarization channel blocker
1481	18.18	cp	BRD-K96527333	dehydroisoandosterone	GABA receptor modulator
1486	18.07	cp	BRD-K19796430	erismodegib	Smoothened receptor antagonist
1489	17.99	cp	BRD-K10065684	dantron	Laxative
1490	17.97	cp	BRD-K60230970	MG-132	Proteasome inhibitor
1494	17.88	cp	BRD-K37865504	LY-2183240	FAAH inhibitor
1496	17.82	cp	BRD-A27554692	altrenogest	Progestogen hormone
1497	17.74	cp	BRD-K98763141	niflumic-acid	Cyclooxygenase inhibitor
1512	17.19	cp	BRD-K98426715	tubacin	HDAC inhibitor
1514	17.15	cp	BRD-A62182663	YK-4279	Apoptosis stimulant
1515	17.12	cp	BRD-K07303502	arachidonyl-trifluoro-methane	Cytosolic phospholipase inhibitor
1516	17.09	cp	BRD-K31699485	DMEOB	glutamate receptor modulator
1518	17.03	cp	BRD-A00267231	hemado	Adenosine receptor agonist
1519	17.02	cp	BRD-K65814004	diphenyleneiodonium	Nitric oxide synthase inhibitor
1524	16.86	cp	BRD-K88551539	CAY-10585	HIF modulator
1525	16.85	cp	BRD-K00627859	tubastatin-a	HDAC inhibitor
1526	16.84	cp	BRD-K26979635	NS-3694	Glutamate receptor antagonist
1534	16.58	cp	BRD-K78637815	LY-320135	Cannabinoid receptor antagonist
1535	16.58	cp	BRD-K92723993	imatinib	BCR-ABL kinase inhibitor
1537	16.43	cp	BRD-A59808129	guggulsterone	Cholesterol inhibitor
1538	16.43	cp	BRD-K64310881	MW-STK33-3B	Potassium channel activator
1543	16.32	cp	BRD-K61217870	n-(3-acetamidophenyl)-3-chlorobenzamide	Glutamate receptor antagonist
1545	16.3	cp	BRD-K10705233	GW-405833	Cannabinoid receptor agonist
1546	16.28	cp	BRD-A64228451	terreic-acid	BTK inhibitor
1547	16.25	cp	BRD-K31627533	rimexolone	Glucocorticoid receptor agonist
1551	16.2	cp	BRD-K40990712	hexamethyleneamiloride	Sodium/hydrogen antiport inhibitor
1553	16.12	cp	BRD-A59215453	lobelanidine	Acetylcholine receptor antagonist
1555	16.1	cp	BRD-K06750613	GSK-1059615	PI3K inhibitor
1563	15.99	cp	BRD-K41903098	diphenoxylate	Opioid receptor agonist
1565	15.96	cp	BRD-K78278890	NM-PP1	Mutant kinase inhibitor
1574	15.6	cp	BRD-K03600606	catechin	Beta secretase inhibitor
1575	15.55	cp	BRD-K61829047	7b-cis	Exportin antagonist
1583	15.42	cp	BRD-K34154330	tracazolate	GABA receptor modulator
1590	15.22	cp	BRD-K16336526	capsaicin	TRPV agonist
1595	15.18	cp	BRD-A27143604	DPN	Estrogen receptor agonist
1598	15.14	cp	BRD-K20755323	SA-792728	Sphingosine kinase inhibitor
1599	15.07	cp	BRD-K31912990	CGP-71683	Neuropeptide receptor antagonist
1602	15.04	cp	BRD-K42679050	Y-27152	Potassium channel activator
1603	15.03	cp	BRD-K60174629	z-prolyl-prolinal	Prolyl endopeptidase inhibitor
1613	14.77	cp	BRD-K78084463	W-12	Calmodulin antagonist
1614	14.77	cp	BRD-A65145453	ATPA	Glutamate receptor agonist
1616	14.74	cp	BRD-K84639753	safinamide	Dopamine uptake inhibitor
1624	14.56	cp	BRD-K20287671	SU-4312	PDGFR receptor inhibitor
1632	14.42	cp	BRD-A17411484	carprofen	Cyclooxygenase inhibitor
1643	14.24	cp	BRD-K11663430	pyroxamide	HDAC inhibitor
1644	14.23	cp	BRD-A35989968	megestrol	Progesterone receptor agonist
1645	14.2	cp	BRD-K82983861	GW-0742	PPAR receptor agonist
1646	14.19	cp	BRD-K68202742	trichostatin-a	HDAC inhibitor
1650	14.09	cp	BRD-K59650319	YM-298198	Glutamate receptor antagonist
1653	14.03	cp	BRD-A78295502	hydroquinine	Antiarrhythmic
1655	14.02	cp	BRD-K33453211	levocabastine	Histamine receptor antagonist
1659	13.97	cp	BRD-K56115039	BU-226	Imidazoline receptor ligand
1661	13.89	cp	BRD-K70487031	flupentixol	Dopamine receptor antagonist
1664	13.8	cp	BRD-K96670504	lonidamine	Glucokinase inhibitor
1667	13.77	cp	BRD-A63667919	methylergometrine	Dopamine receptor antagonist
1669	13.76	cp	BRD-K32830106	guanfacine	Adrenergic receptor agonist
1675	13.6	cp	BRD-K74913225	brinzolamide	Carbonic anhydrase inhibitor
1679	13.53	cp	BRD-K98769987	flumazenil	Benzodiazepine receptor antagonist
1684	13.48	cp	BRD-K04196797	oxcarbazepine	Sodium channel blocker
1689	13.43	cp	BRD-K09549677	mibefradil	T-type calcium channel blocker
1692	13.36	cp	BRD-K39111395	BCL2-inhibitor	BCL inhibitor
1694	13.33	cp	BRD-K49111258	prazosin	Adrenergic receptor antagonist
1695	13.3	cp	BRD-K21350491	phenamil	TRPV antagonist
1697	13.24	cp	BRD-K37080523	isoreserpine	Vesicular monoamine transporter inhibitor
1700	13.21	cp	BRD-K25311561	KU-55933	ATM kinase inhibitor
1703	13.07	cp	BRD-A93000692	ciglitazone	PPAR receptor agonist
1704	13.05	cp	BRD-K80451230	zamifenacin	Acetylcholine receptor antagonist
1707	12.98	cp	BRD-K55191674	benzylpenicillin	Penicillin binding protein inhibitor
1711	12.91	cp	BRD-A49765801	fludroxycortide	Glucocorticoid receptor agonist
1712	12.9	cp	BRD-K59037100	oxybenzone	Lipase inhibitor
1714	12.87	cp	BRD-A19195498	trimipramine	Norepinephrine reuptake inhibitor
1716	12.83	cp	BRD-K47869605	podophyllotoxin	Microtubule inhibitor
1726	12.7	cp	BRD-K66788707	fludarabine	DNA synthesis inhibitor
1730	12.61	cp	BRD-K94832621	Y-134	Estrogen receptor antagonist
1731	12.61	cp	BRD-K63533170	AM-630	Cannabinoid receptor antagonist
1738	12.39	cp	BRD-K59419204	AM-281	Cannabinoid receptor antagonist
1740	12.33	cp	BRD-M07438658	lapatinib	EGFR inhibitor
1741	12.26	cp	BRD-K04046242	equilin	Estrogen receptor agonist
1743	12.21	cp	BRD-K40892394	AR-C133057XX	Nitric oxide synthase inhibitor
1752	12.1	cp	BRD-K82381502	acetylcholine	Acetylcholine receptor agonist
1753	12.03	cp	BRD-K03109492	NSC-663284	CDC inhibitor
1754	12.01	cp	BRD-U33728988	QL-X-138	MTOR inhibitor
1755	12.01	cp	BRD-K85242180	beta-CCP	Indoleamine 2,3-dioxygenase inhibitor
1760	11.98	cp	BRD-K16406336	methylene-blue	Guanylyl cyclase inhibitor
1762	11.9	cp	BRD-K06024458	n-arachidonyl-GABA	cannabinoid receptor agonist
1764	11.89	cp	BRD-K74514084	pazopanib	KIT inhibitor
1769	11.85	cp	BRD-K96862998	pirfenidone	TGF beta receptor inhibitor
1774	11.79	cp	BRD-K37846922	3,3'-diindolylmethane	CHK inhibitor
1775	11.78	cp	BRD-A10969569	ambelline	Plant alkaloid
1777	11.77	cp	BRD-K40919711	BAPTA-AM	Potassium channel blocker
1790	11.5	cp	BRD-K33226500	indinavir	HIV protease inhibitor
1791	11.46	cp	BRD-K34170797	fexaramine	FXR agonist
1803	11.25	cp	BRD-K35498378	alrestatin	Aldose reductase inhibitor
1805	11.17	cp	BRD-K29582677	flunarizine	Calcium channel blocker
1806	11.16	cp	BRD-K10860596	granisetron	Serotonin receptor antagonist
1809	11.13	cp	BRD-A14798026	mestranol	Estrogen receptor agonist
1812	11.09	cp	BRD-A49172652	lansoprazole	ATPase inhibitor
1816	11.03	cp	BRD-A22844106	tenoxicam	Cyclooxygenase inhibitor
1818	11.02	cp	BRD-K33204703	AG-370	PDGFR receptor inhibitor
1821	10.99	cp	BRD-A74907996	equol	Estrogen receptor agonist
1823	10.91	cp	BRD-K16664969	GTP-14564	FLT3 inhibitor
1829	10.76	cp	BRD-A41995253	brucine	Glycine receptor antagonist
1834	10.75	cp	BRD-A29260609	acebutolol	Adrenergic receptor antagonist
1836	10.73	cp	BRD-K29530284	amlexanox	Histamine receptor modulator
1840	10.7	cp	BRD-K04210847	tamoxifen	Estrogen receptor antagonist
1844	10.55	cp	BRD-K04877770	FTase-inhibitor-B581	Farnesyltransferase inhibitor
1851	10.46	cp	BRD-K02867583	minaprine	Serotonin reuptake inhibitor
1863	10.27	cp	BRD-K10177585	PSB-11	Adenosine receptor antagonist
1868	10.2	cp	BRD-K92678294	irilin-a	Isoflavone
1869	10.18	cp	BRD-K59773493	benzohydroxamic-acid	Antifungal
1870	10.17	cp	BRD-K15601958	SEW-2871	Lysophospholipid receptor agonist
1874	10.05	cp	BRD-K09907482	PRL-3-inhibitor-I	Tyrosine phosphatase inhibitor
1877	10.01	cp	BRD-K88849294	lobaric-acid	Tyrosine phosphatase inhibitor
1880	9.97	cp	BRD-A19248578	latrunculin-b	Actin polymerization inhibitor
1886	9.87	cp	BRD-A55484088	BNTX	Opioid receptor antagonist
1887	9.86	cp	BRD-K38323065	phenacetin	Cyclooxygenase inhibitor
1888	9.86	cp	BRD-K38055836	etamivan	Respiratory stimulant
1894	9.66	cp	BRD-K15025317	BAY-11-7821	NFkB pathway inhibitor
1895	9.64	cp	BRD-K55677650	CO-101244	Ionotropic glutamate receptor antagonist
1896	9.62	cp	BRD-K81169441	cerivastatin	HMGCR inhibitor
1903	9.58	cp	BRD-K89732114	trifluoperazine	Dopamine receptor antagonist
1906	9.48	cp	BRD-K72726508	arcyriaflavin-a	CDK inhibitor
1907	9.48	cp	BRD-K21548250	moracizine	Sodium channel blocker
1908	9.44	cp	BRD-K53979406	ALX-5407	Glycine transporter inhibitor
1911	9.37	cp	BRD-A35623999	CGP-37157	L-type calcium channel blocker
1913	9.35	cp	BRD-K32412559	morphothebaine	Adrenergic receptor antagonist
1916	9.22	cp	BRD-K30990140	FR-122047	Cyclooxygenase inhibitor
1920	9.11	cp	BRD-K79353516	indolophenanthridine	CALY activator
1921	9.11	cp	BRD-K03842655	penitrem-a	Potassium channel blocker
1927	9.02	cp	BRD-K54708045	nTZDpa	PPAR receptor agonist
1928	9.02	cp	BRD-K07325606	hispidin	PKC inhibitor
1929	9.02	cp	BRD-A77291778	cyclopentolate	Acetylcholine receptor antagonist
1940	8.91	cp	BRD-K19111024	clofibric-acid	PPAR receptor agonist
1941	8.86	cp	BRD-A45333398	periplocymarin	Apoptosis stimulant
1949	8.77	cp	BRD-A55416093	colforsin	Adenylyl cyclase activator
1950	8.74	cp	BRD-K62363391	dapsone	Bacterial antifolate
1954	8.67	cp	BRD-K05901394	terguride	Dopamine receptor agonist
1961	8.57	cp	BRD-K71823332	epothilone-a	Microtubule stabilizing agent
1962	8.56	cp	BRD-A67605442	tetrahydrobiopterin	Nitric oxide stimulant
1963	8.51	cp	BRD-K51302260	KU-C103871	GSP agonist
1970	8.45	cp	BRD-K25079130	avrainvillamide-analog-4	nucleophosmin inhibitor
1983	8.29	cp	BRD-K21667562	AM-404	Cyclooxygenase inhibitor
1985	8.27	cp	BRD-K52075715	oxibendazole	Tubulin inhibitor
1987	8.22	cp	BRD-K36627727	tamibarotene	Retinoid receptor agonist
1988	8.21	cp	BRD-K33483813	actarit	Interleukin receptor agonist
1989	8.2	cp	BRD-K38305202	domperidone	Dopamine receptor antagonist
1990	8.18	cp	BRD-K08287586	butylparaben	DNA synthesis inhibitor
1994	8.14	cp	BRD-A49734948	foliosidine	Plant alkaloid
2002	8.07	cp	BRD-K91733562	secoisolariciresinol	Antioxidant
2013	7.92	cp	BRD-A51829654	BRL-15572	Serotonin receptor antagonist
2015	7.92	cp	BRD-K26664453	cytochalasin-b	Microtubule inhibitor
2018	7.87	cp	BRD-K64610608	EMF-bca1-57	caspase inhibitor
2019	7.86	cp	BRD-K63504947	semaxanib	VEGFR inhibitor
2021	7.82	cp	BRD-K77625572	etomoxir	Carnitine palmitoyltransferase inhibitor
2024	7.78	cp	BRD-A54236247	racephedrine	Adrenergic receptor agonist
2027	7.75	cp	BRD-K93188295	ARC-239	Adrenergic receptor antagonist
2030	7.72	cp	BRD-K69032158	diprotin-a	Dipeptidyl peptidase inhibitor
2031	7.71	cp	BRD-K85606544	neratinib	EGFR inhibitor
2040	7.55	cp	BRD-K72903603	zidovudine	Reverse transcriptase inhibitor
2041	7.52	cp	BRD-K43149758	myricetin	Androgen receptor agonist
2043	7.5	cp	BRD-A55946879	BW-B70C	Lipoxygenase inhibitor
2047	7.47	cp	BRD-K52751261	TAK-715	p38 MAPK inhibitor
2048	7.43	cp	BRD-K66206289	lobeline	Acetylcholine receptor antagonist
2049	7.42	cp	BRD-K23583188	lavendustin-a	EGFR inhibitor
2053	7.36	cp	BRD-K63675182	triflupromazine	Dopamine receptor antagonist
2060	7.29	cp	BRD-K17743125	belinostat	HDAC inhibitor
2063	7.26	cp	BRD-A99449986	MT-21	Caspase activator
2069	7.22	cp	BRD-K02275692	cefotiam	Bacterial cell wall synthesis inhibitor
2071	7.2	cp	BRD-K67537649	PQ-401	IGF-1 inhibitor
2075	7.19	cp	BRD-K67080878	milrinone	Phosphodiesterase inhibitor
2078	7.15	cp	BRD-K09859624	methantheline	Acetylcholine receptor antagonist
2079	7.15	cp	BRD-K41731458	triclosan	Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor
2080	7.14	cp	BRD-A15530910	carpindolol	Adrenergic receptor antagonist
2082	7.1	cp	BRD-K50168500	canertinib	EGFR inhibitor
2087	7.07	cp	BRD-A10420615	cyclopiazonic-acid	ATPase inhibitor
2091	7.05	cp	BRD-K04923131	GSK-3-inhibitor-IX	Glycogen synthase kinase inhibitor
2096	6.98	cp	BRD-A45543382	metrizamide	Radiopaque medium
2098	6.96	cp	BRD-K85119730	tolbutamide	ATP channel blocker
2100	6.94	cp	BRD-K59456551	methotrexate	Dihydrofolate reductase inhibitor
2106	6.9	cp	BRD-K14329163	BAY-K8644	Calcium channel activator
2110	6.84	cp	BRD-K54790157	trioxsalen	DNA synthesis inhibitor
2112	6.84	cp	BRD-K85133207	HDAC1-selective	HDAC inhibitor
2115	6.8	cp	BRD-K01648091	LE-300	Dopamine receptor antagonist
2116	6.8	cp	BRD-K33860217	CP-94253	Serotonin receptor agonist
2124	6.7	cp	BRD-K87048468	RS-102221	Serotonin receptor antagonist
2126	6.68	cp	BRD-A43930669	L-368899	Oxytocin receptor antagonist
2138	6.48	cp	BRD-K50938287	sumatriptan	Serotonin receptor agonist
2146	6.37	cp	BRD-K42748308	XE-991	Potassium channel blocker
2147	6.36	cp	BRD-K89839824	raltitrexed	Thymidylate synthase inhibitor
2150	6.34	cp	BRD-A92826379	lupanine	Sodium channel blocker
2152	6.31	cp	BRD-K84566043	fenpiverinium	Acetylcholine receptor antagonist
2156	6.27	cp	BRD-K18895904	olanzapine	Dopamine receptor antagonist
2159	6.25	cp	BRD-K34995470	SU-1498	VEGFR inhibitor
2160	6.24	cp	BRD-K22009844	phenprobamate	Muscle relaxant
2162	6.23	cp	BRD-K45542189	diethylcarbamazine	Lipoxygenase inhibitor
2165	6.2	cp	BRD-K56558538	ambroxol	Sodium channel blocker
2167	6.18	cp	BRD-K80527266	triacsin-c	Adrenergic receptor antagonist
2171	6.14	cp	BRD-K55127134	fluphenazine	Dopamine receptor antagonist
2175	6.1	cp	BRD-A50675702	fipronil	GABA gated chloride channel blocker
2184	6.03	cp	BRD-K10136726	tosyllysyl-chloromethyl-ketone	Chymotrypsin inhibitor
2185	6.03	cp	BRD-A61392169	eliprodil	Glutamate receptor antagonist
2192	5.99	cp	BRD-K17705806	JTC-801	Opioid receptor antagonist
2196	5.95	cp	BRD-K17140735	SCH-79797	Proteasome inhibitor
2201	5.92	cp	BRD-K01649396	indatraline	Norepinephrine transporter inhibitor
2208	5.88	cp	BRD-K08703257	3-amino-benzamide	PARP inhibitor
2210	5.85	cp	BRD-K59851896	calycanthine	GABA release inhibitor
2220	5.75	cp	BRD-K50720187	flupirtine	Glutamate receptor antagonist
2223	5.73	cp	BRD-K71103788	duloxetine	Serotonin reuptake inhibitor
2224	5.73	cp	BRD-A67373739	AICA-ribonucleotide	AMPK activator
2228	5.67	cp	BRD-A97104540	fenoterol	Adrenergic receptor agonist
2231	5.61	cp	BRD-K40578143	GR-79236	Adenosine receptor agonist
2233	5.6	cp	BRD-K18757346	U-46619	Thromboxane receptor agonist
2246	5.53	cp	BRD-K77008974	WYE-354	MTOR inhibitor
2248	5.49	cp	BRD-A09472452	flecainide	Sodium channel blocker
2250	5.47	cp	BRD-K51313569	palbociclib	CDK inhibitor
2255	5.45	cp	BRD-K09416995	lovastatin	HMGCR inhibitor
2257	5.43	cp	BRD-K74765201	tomelukast	Leukotriene receptor antagonist
2258	5.43	cp	BRD-A07440155	labetalol	Adrenergic receptor antagonist
2259	5.4	cp	BRD-K19554809	MK-212	Serotonin receptor agonist
2262	5.36	cp	BRD-K37848908	ceforanide	Penicillin binding protein inhibitor
2263	5.36	cp	BRD-A29426959	carbinoxamine	Histamine receptor antagonist
2265	5.34	cp	BRD-A36217750	sulfinpyrazone	Uricosuric blocker
2274	5.23	cp	BRD-K75295174	alisertib	Aurora kinase inhibitor
2277	5.23	cp	BRD-K82135108	elesclomol	Oxidative stress inducer
2278	5.22	cp	BRD-K67174588	toremifene	Estrogen receptor antagonist
2281	5.19	cp	BRD-K10995081	perphenazine	Dopamine receptor antagonist
2285	5.15	cp	BRD-K22947005	dexbrompheniramine	Histamine receptor antagonist
2288	5.13	cp	BRD-K53972329	ruxolitinib	JAK inhibitor
2300	5	cp	BRD-K93332168	isocarboxazid	Monoamine oxidase inhibitor
2301	4.98	cp	BRD-K47631482	bromhexine	Mucolytic agent
2305	4.96	cp	BRD-U44618005	WH-4023	SRC inhibitor
2309	4.93	cp	BRD-K56614220	clofazimine	GK0582 inhibitor
2310	4.93	cp	BRD-K12002134	megestrol	progesterone receptor agonist
2325	4.79	cp	BRD-K96144918	mead-acid	KPL-1 tumor suppressor
2328	4.79	cp	BRD-K91601245	mercaptopurine	Immunosuppressant
2330	4.76	cp	BRD-K55591206	epigallocatechin	Nitric oxide synthase inhibitor
2336	4.69	cp	BRD-A83237092	fulvestrant	Estrogen receptor antagonist
2342	4.65	cp	BRD-K88429204	pyrimethamine	Dihydrofolate reductase inhibitor
2343	4.65	cp	BRD-A06784547	MRS-1334	Adenosine receptor antagonist
2348	4.62	cp	BRD-K04170657	psoromic-acid	Ras GTPase inhibitor
2349	4.62	cp	BRD-K94441233	mevastatin	HMGCR inhibitor
2353	4.59	cp	BRD-K70577657	H-9	PKA inhibitor
2358	4.55	cp	BRD-K27737647	H-89	PKA inhibitor
2359	4.55	cp	BRD-K87919739	tyrphostin-AG-825	Receptor tyrosine protein kinase inhibitor
2368	4.46	cp	BRD-K63923597	barasertib	Aurora kinase inhibitor
2372	4.41	cp	BRD-K09132007	D-4476	TGF beta receptor inhibitor
2374	4.4	cp	BRD-K74761218	WT-171	HDAC inhibitor
2384	4.33	cp	BRD-K16233984	eriochrome-black-t	Azo dye
2387	4.29	cp	BRD-A31204924	mitotane	Antineoplastic
2393	4.25	cp	BRD-K78599730	manumycin-a	Farnesyltransferase inhibitor
2403	4.2	cp	BRD-A71157293	fursultiamine	Vitamin B
2415	4.05	cp	BRD-A03216249	mepivacaine	Potassium channel blocker
2421	3.99	cp	BRD-K56064827	EI-273	PKC inhibitor
2424	3.97	cp	BRD-K49448285	bisindolylmaleimide	CDK inhibitor
2435	3.91	cp	BRD-K66412701	pazufloxacin	Topoisomerase inhibitor
2436	3.91	cp	BRD-A07780951	orciprenaline	Adrenergic receptor agonist
2441	3.86	cp	BRD-K13049116	BMS-754807	IGF-1 inhibitor
2445	3.84	cp	BRD-A29437505	RWJ-21757	TLR agonist
2448	3.83	cp	BRD-K39569857	avrainvillamide-analog-3	nucleophosmin inhibitor
2453	3.78	cp	BRD-K21806131	tegaserod	Serotonin receptor partial agonist
2454	3.78	cp	BRD-A39052811	mosapride	Serotonin receptor agonist
2456	3.77	cp	BRD-K05395900	nicotine	Acetylcholine receptor agonist
2460	3.75	cp	BRD-K73824630	skatole	Thrombin inhibitor
2461	3.75	cp	BRD-K82846253	repaglinide	Insulin secretagogue
2465	3.74	cp	BRD-K44899736	RO-16-6941	Monoamine oxidase inhibitor
2474	3.66	cp	BRD-K41170226	deoxycholic-acid	G protein-coupled receptor agonist
2478	3.66	cp	BRD-K46211610	tolazoline	Adrenergic receptor antagonist
2479	3.63	cp	BRD-A48809242	IB-MECA	Adenosine receptor agonist
2480	3.63	cp	BRD-A25067867	benzatropine	Acetylcholine receptor antagonist
2494	3.52	cp	BRD-K13087974	4,5-dianilinophthalimide	EGFR inhibitor
2497	3.52	cp	BRD-A59303141	quinethazone	Thiazide diuretic
2500	3.49	cp	BRD-K05977355	fluconazole	Sterol demethylase inhibitor
2505	3.47	cp	BRD-A26384407	chlortalidone	Carbonic anhydrase inhibitor
2511	3.44	cp	BRD-A72758037	asiatic-acid	Apoptosis stimulant
2515	3.42	cp	BRD-K66707493	lawsone	Coloring agent
2522	3.38	cp	BRD-K63915849	AS-604850	PI3K inhibitor
2524	3.36	cp	BRD-K47659338	EMD-386088	Serotonin receptor agonist
2526	3.35	cp	BRD-K13927029	retinol	Retinoid receptor ligand
2527	3.35	cp	BRD-A48261811	argatroban	Thrombin inhibitor
2528	3.34	cp	BRD-A32161980	carbetocin	Oxytocin receptor agonist
2534	3.31	cp	BRD-K79145749	dibenzepin	Norepinephrine reuptake inhibitor
2535	3.31	cp	BRD-K95609758	BMS-191011	Potassium channel activator
2544	3.26	cp	BRD-K16277217	piperacetazine	Dopamine receptor antagonist
2545	3.26	cp	BRD-A85280935	quinpirole	Dopamine receptor agonist
2549	3.24	cp	BRD-K04833372	GSK-1904529A	IGF-1 inhibitor
2552	3.21	cp	BRD-K44779798	miglitol	Glucosidase inhibitor
2557	3.21	cp	BRD-A68631409	evodiamine	ATPase inhibitor
2564	3.17	cp	BRD-K66876909	linezolid	Bacterial 50S ribosomal subunit inhibitor
2568	3.14	cp	BRD-K79684402	RO-10-5824	Dopamine receptor agonist
2574	3.08	cp	BRD-K28761384	zuclopenthixol	Dopamine receptor antagonist
2579	3.04	cp	BRD-A87606379	nadolol	Adrenergic receptor antagonist
2585	3	cp	BRD-K89930444	AG-592	Tyrosine kinase inhibitor
2599	2.9	cp	BRD-K72703948	ZM-447439	Aurora kinase inhibitor
2606	2.84	cp	BRD-K91243525	SR-142948	Neurotensin receptor antagonist
2610	2.82	cp	BRD-K09497549	kawain	Calcium channel modulator
2619	2.78	cp	BRD-K16977723	PP-3	EGFR inhibitor
2620	2.78	cp	BRD-K56429665	calcipotriol	Vitamin D receptor agonist
2623	2.71	cp	BRD-A52326238	isogedunin	HSP inhibitor
2624	2.71	cp	BRD-A09925278	etilefrine	Adrenergic receptor agonist
2628	2.68	cp	BRD-K89162000	tandutinib	FLT3 inhibitor
2630	2.68	cp	BRD-K55748775	SCH-28080	ATPase inhibitor
2633	2.63	cp	BRD-K08219523	5-nonyloxytryptamine	Serotonin receptor agonist
2636	2.61	cp	BRD-K49671696	ketanserin	Serotonin receptor antagonist
2641	2.58	cp	BRD-K27710560	splitomycin	SIRT inhibitor
2642	2.57	cp	BRD-K07265709	razoxane	Chelating agent
2643	2.57	cp	BRD-A64227845	SKF-77434	Dopamine receptor agonist
2644	2.57	cp	BRD-K33396764	alpha-linolenic-acid	Omega 3 fatty acid stimulant
2648	2.57	cp	BRD-K89348303	ramipril	ACE inhibitor
2661	2.54	cp	BRD-K62206109	VUF-5681	Histamine receptor antagonist
2662	2.54	cp	BRD-K78959463	FPL-64176	Calcium channel activator
2667	2.5	cp	BRD-K45252063	clofibrate	PPAR receptor agonist
2670	2.5	cp	BRD-K93280214	gabazine	GABA receptor antagonist
2675	2.47	cp	BRD-K54771420	glycocholic-acid	Cholesterol inhibitor
2681	2.44	cp	BRD-A30205217	ethotoin	Hydantoin antiepileptic
2682	2.42	cp	BRD-K61177364	NBI-27914	CRF receptor antagonist
2688	2.4	cp	BRD-K21853356	RG-14620	EGFR inhibitor
2697	2.36	cp	BRD-A77118605	BML-ST330	Phospholipase inhibitor
2698	2.36	cp	BRD-K97509413	coumestrol	Estrogen receptor agonist
2700	2.33	cp	BRD-K24994810	androstenol	GABA receptor modulator
2712	2.29	cp	BRD-K37312348	kenpaullone	CDK inhibitor
2713	2.29	cp	BRD-K39733634	L-161982	Prostanoid receptor antagonist
2717	2.27	cp	BRD-K19462402	buflomedil	Adrenergic receptor antagonist
2721	2.26	cp	BRD-K33882852	ZK-93423	Benzodiazepine receptor agonist
2722	2.26	cp	BRD-K50135270	GBR-12935	Dopamine uptake inhibitor
2725	2.25	cp	BRD-K50859149	sulfafurazole	Bacterial antifolate
2728	2.22	cp	BRD-K12867552	THM-I-94	HDAC inhibitor
2729	2.22	cp	BRD-K73391359	quinisocaine	Local anesthetic
2731	2.22	cp	BRD-K74133369	oligomycin-a	ATP synthase inhibitor
2740	2.18	cp	BRD-K72029282	probucol	Atherogenesis inhibitor
2741	2.18	cp	BRD-A82371568	clofarabine	Ribonucleoside reductase inhibitor
2742	2.18	cp	BRD-A72483914	spiroxatrine	Serotonin receptor antagonist
2745	2.15	cp	BRD-K66019333	oxantel	Anthelmintic
2747	2.13	cp	BRD-K01624546	docosatrienoic-acid	LTB4 inhibitor
