"","PCD_gene"
"1398","ITGA8"
"1399","PBK"
"1400","SATB1"
"1401","LTB4R2"
"1402","MAVS"
"1403","HRC"
"1404","CCN2"
"1405","RHOB"
"1406","PLG"
"1407","PRKCQ"
"1408","SP1"
"1409","HAVCR2"
"1410","DOCK1"
"1411","VTN"
"1412","PDCD4"
"1413","PRPF4B"
"1414","RANBP9"
"1415","ZBTB7A"
"1416","MIR141"
"1417","KL"
"1418","PRKCI"
"1419","EPHB6"
"1420","FGF2"
"1421","HK2"
"1422","LTF"
"1423","IQGAP1"
"1424","MGAT5"
"1425","SDCBP"
"1426","ABHD2"
"1427","SPIB"
"1428","TRIM31"
"1429","MIR1827"
"1430","PDGFRB"
"1431","PLAT"
"1432","NRAS"
"1433","PAK4"
"1434","VEGFA"
"1435","PIN1"
"1436","IL1RAP"
"1437","UBE2C"
"1438","TWIST1"
"1439","BMP6"
"1440","ELK1"
"1441","KDM3A"
"1442","PRDX4"
"1443","LMO3"
"1444","ZNF32"
"1445","MIR200B"
"1446","MIR525"
"1447","MIR363"
"1448","TUBB3"
"1449","HSP90B1"
"1450","SLC2A1"
"1451","PTPN11"
"1452","PAK3"
"1453","CD36"
"1454","PPP2CA"
"1455","CDH3"
"1456","EEF2K"
"1457","LRP1"
"1458","PTK6"
"1459","LPAR1"
"1460","CEACAM1"
"1461","GDF2"
"1462","GLO1"
"1463","RBL2"
"1464","SIRPA"
"1465","ADCY10"
"1466","VPS37A"
"1467","APOBEC3G"
"1468","BAG1"
"1469","COL13A1"
"1470","MNX1"
"1471","RAD9A"
"1472","MEGF11"
"1473","BCL2L15"
"1474","NOTCH3"
"1475","FASN"
"1476","TPM1"
"1477","PPP2R1A"
"1478","COL4A2"
"1479","CTNND1"
"1480","CD151"
"1481","MMP11"
"1482","ARHGEF7"
"1483","PPP2R2A"
"1484","SEMA7A"
"1485","PPP2R5A"
"1486","BST2"
"1487","CCN1"
"1488","PPP2R2D"
"1489","CCDC178"
"1490","MIR10A"
"1491","MIR30B"
"1492","MIR30C1"
"1493","SHC1"
"1494","CAMK2B"
"1495","PRKACG"
"1496","MARK4"
"1497","SSTR5"
"1498","TAAR5"
"1499","HACD2"
"1500","NT5C"
"1501","INSRR"
"1502","TAAR9"
"1503","PLPP2"
"1504","G6PC2"
"1505","GUCY2EP"
"1506","CDK4"
"1507","RGR"
"1508","ADGRG1"
"1509","UQCRC1"
"1510","TNK2"
"1511","RNF181"
"1512","UBE2U"
"1513","MYLK"
"1514","CTDSP2"
"1515","GPR15"
"1516","ATP23"
"1517","PI4KB"
"1518","DSTYK"
"1519","CFD"
"1520","PPP3CA"
"1521","CCR4"
"1522","PRAG1"
"1523","GPR153"
"1524","MAP2K2"
"1525","MAPK14"
"1526","PDCD6IP"
"1527","EIF2S1"
"1528","HSPA5"
"1529","CASP7"
"1530","ITPR3"
"1531","RYR1"
"1532","RYR2"
"1533","MCU"
"1534","TNFRSF19"
"1535","CSF1"
"1536","PHB"
"1537","ARF6"
"1538","GIT1"
"1539","PFKFB3"
"1540","PCK2"
"1541","MTUS2"
"1542","AURKA"
"1543","KIF2C"
"1544","EZR"
"1545","MRTFA"
"1546","DIAPH1"
"1547","LPAR2"
"1548","PIKFYVE"
"1549","FLNA"
"1550","FLNB"
"1551","ACTB"
"1552","MYL6"
"1553","MYH10"
"1554","CAPZB"
"1555","DSTN"
"1556","ACTN4"
"1557","PDLIM1"
"1558","CD2AP"
"1559","INF2"
"1560","DFFA"
"1561","SPTAN1"
"1562","GADD45A"
"1563","GSN"
"1564","EGR3"
"1565","IGFBP6"
"1566","BTG3"
"1567","F2R"
"1568","CREBBP"
"1569","GPX3"
"1570","CCND2"
"1571","ADD1"
"1572","TIMP2"
"1573","BTG2"
"1574","LEF1"
"1575","CDC25B"
"1576","AIFM3"
"1577","LUM"
"1578","LMNA"
"1579","GADD45B"
"1580","CDK2"
"1581","RETSAT"
"1582","SMAD7"
"1583","ENO2"
"1584","IER3"
"1585","CD2"
"1586","GCH1"
"1587","TAP1"
"1588","APP"
"1589","PSEN2"
"1590","EREG"
"1591","WEE1"
"1592","RARA"
"1593","CD69"
"1594","DNAJC3"
"1595","PLCB2"
"1596","BMP2"
"1597","PLPPR4"
"1598","H1-0"
"1599","TGFBR3"
"1600","EBP"
"1601","TXNIP"
"1602","ANKH"
"1603","GSTM1"
"1604","GSR"
"1605","BGN"
"1606","GNA15"
"1607","MGMT"
"1608","F2"
"1609","SC5D"
"1610","IFITM3"
"1611","RNASEL"
"1612","EMP1"
"1613","ANXA1"
"1614","TOP2A"
"1615","ISG20"
"1616","SLC20A1"
"1617","PPP2R5B"
"1618","NEDD9"
"1619","DPYD"
"1620","NEFH"
"1621","FDXR"
"1622","ETF1"
"1623","CCNA1"
"1624","GUCY2D"
"1625","AVPR1A"
"1626","PRKAR2B"
"1627","PPP3R2"
"1628","IRAK4"
"1629","CHP2"
"1630","ENDOG"
"1631","NFKBIA"
"1632","PIK3R5"
"1633","IL3RA"
"1634","IL3"
"1635","ENDOD1"
"1636","PRKX"
"1637","CSF2RB"
"1638","TNFRSF10D"
"1639","MAP3K14"
"1640","IRAK2"
"1641","IRAK1"
"1642","IRAK3"
"1643","PRKACB"
"1644","PPP3CB"
"1645","DFFB"
"1646","PRKAR1A"
"1647","PRKAR2A"
"1648","PRKAR1B"
"1649","EXOG"
"1650","CHP1"
"1651","PSMB1"
"1652","PSMC4"
"1653","VIM"
"1654","PSMA4"
"1655","DSG2"
"1656","PSME4"
"1657","ARHGAP10"
"1658","PKP1"
"1659","PSMC5"
"1660","DYNLL1"
"1661","PSME1"
"1662","CLSPN"
"1663","PSMD5"
"1664","DSP"
"1665","PSMD8"
"1666","PSMC6"
"1667","PSMA3"
"1668","PSMC1"
"1669","PSMB5"
"1670","ACIN1"
"1671","PSMA6"
"1672","PSME2"
"1673","PSMA7"
"1674","BMX"
"1675","PSMD7"
"1676","TJP1"
"1677","CARD8"
"1678","PSMA2"
"1679","PSMD3"
"1680","KPNB1"
"1681","C1QBP"
"1682","PSMD11"
"1683","PSMD9"
"1684","LMNB1"
"1685","UNC5A"
"1686","KPNA1"
"1687","PSMD14"
"1688","TJP2"
"1689","H1-3"
"1690","H1-1"
"1691","PSMF1"
"1692","PSMB2"
"1693","SEM1"
"1694","PSMA1"
"1695","STK26"
"1696","DSG3"
"1697","DSG1"
"1698","APC"
"1699","DBNL"
"1700","PSMB7"
"1701","PSMB6"
"1702","PSMA5"
"1703","RPS27A"
"1704","GAS2"
"1705","APIP"
"1706","UBC"
"1707","PSMA8"
"1708","PSMD4"
"1709","PSMB4"
"1710","PSMC2"
"1711","OMA1"
"1712","PSMD6"
"1713","PSMC3"
"1714","H1-4"
"1715","FNTA"
"1716","AVEN"
"1717","PSMD1"
"1718","PSMD2"
"1719","PLEC"
"1720","MAGED1"
"1721","H1-5"
"1722","PSMD13"
"1723","H1-2"
"1724","PSMD12"
"1725","OCLN"
"1726","PSMB8"
"1727","PSMB10"
"1728","UBA52"
"1729","PSMB11"
"1730","PSMB9"
"1731","DYNLL2"
"1732","PSMB3"
"1733","SPATA2L"
"1734","CAMK2A"
"1735","CAMK2D"
"1736","CAMK2G"
"1737","SLC25A4"
"1738","SLC25A6"
"1739","SLC25A31"
"1740","GLUL"
"1741","PYGL"
"1742","PYGM"
"1743","PYGB"
"1744","MAPK10"
"1745","PLA2G4E"
"1746","PLA2G4A"
"1747","JMJD7-PLA2G4B"
"1748","PLA2G4B"
"1749","PLA2G4C"
"1750","PLA2G4D"
"1751","PLA2G4F"
"1752","RNF103-CHMP3"
"1753","VPS4B"
"1754","CHMP1B"
"1755","CHMP1A"
"1756","IFNA2"
"1757","IFNA4"
"1758","IFNA5"
"1759","IFNA6"
"1760","IFNA7"
"1761","IFNA8"
"1762","IFNA10"
"1763","IFNA13"
"1764","IFNA14"
"1765","IFNA16"
"1766","IFNA17"
"1767","IFNA21"
"1768","HSP90AB1"
"1769","PARP3"
"1770","PARP4"
"1771","H2AX"
"1772","H2AC20"
"1773","H2AC12"
"1774","H2AC1"
"1775","H2AW"
"1776","H2AB3"
"1777","H2AC8"
"1778","H2AC4"
"1779","MACROH2A2"
"1780","MACROH2A1"
"1781","H2AC19"
"1782","H2AJ"
"1783","H2AB1"
"1784","H2AC17"
"1785","H2AC18"
"1786","H2AC11"
"1787","H2AC21"
"1788","H2AZ2"
"1789","H2AC7"
"1790","H2AZ1"
"1791","H2AC15"
"1792","H2AC6"
"1793","H2AC13"
"1794","H2AC14"
"1795","H2AC16"
"1796","H2AB2"
