"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Tumor_AVG","Normal_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_CpG_Islands_Name","DHS","Enhancer","Phantom","Probe_SNPs","Probe_SNPs_10"
"cg03825810",-0.429319263531342,0.434207107643031,-12.5237795764999,2.55231577178709e-28,8.34216926990896e-26,53.5629410355681,0.349695441593555,0.779014705124896,0.429319263531342,"3",38888170,"F","II","SCN11A","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg18932798",0.462630162973105,0.415252532824986,12.5215237409875,2.59749176859256e-28,8.48310373872391e-26,53.5455364906615,0.506321462544101,0.0436912995709965,-0.462630162973105,"10",105037503,"R","I","INA","1stExon","island","1stExon-island","chr10:105036628-105038084",TRUE,NA,"high-CpG:105027409-105027494","",""
"cg04804542",-0.433811326703539,0.355952959330169,-12.517425952045,2.68160580596741e-28,8.73705722315357e-26,53.5139224895882,0.270557028876716,0.704368355580256,0.43381132670354,"17",77175380,"F","II","HRNBP3","5'UTR","shelf","5'UTR-shelf","chr17:77178828-77180229",NA,NA,"","",""
"cg09712962",-0.444377998826202,0.4504867321758,-12.5141939902281,2.74985979758968e-28,8.92419291242793e-26,53.4889899338727,0.363010748154894,0.807388746981095,0.444377998826201,"2",48946375,"F","II","GTF2A1L","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg05844832",-0.448595063056725,0.511939896357066,-12.510440384646,2.83130838657974e-28,9.17408416814451e-26,53.4600350887547,0.42363378158212,0.872228844638844,0.448595063056724,"2",212786221,"R","II","ERBB4","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg18087023",-0.512908338306379,0.466659621055657,-12.5066274598325,2.91650860640086e-28,9.43532852138693e-26,53.4306247170223,0.36569341272763,0.878601751034009,0.512908338306379,"1",153014956,"F","II","SPRR2D","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg03271520",-0.403700150070326,0.406649958403107,-12.5058428154325,2.93435642494893e-28,9.4856290949793e-26,53.4245727479924,0.327181424924697,0.730881574995022,0.403700150070325,"17",3100171,"F","II","OR1A2","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg03605164",-0.457935557419277,0.570985694202425,-12.493680726335,3.22535324949185e-28,1.0361687118557e-25,53.3307776997025,0.480840899434851,0.938776456854127,0.457935557419276,"4",44447076,"R","II","KCTD8","Body","shelf","Body-shelf","chr4:44449386-44451133",NA,NA,"","",""
"cg09548780",0.438617775727667,0.475818931984479,12.4936765016838,3.22545917514435e-28,1.0361687118557e-25,53.3307451225171,0.562161013820634,0.123543238092967,-0.438617775727667,"2",218770270,"R","II","TNS1","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg24681654",-0.442626805853281,0.40940442234969,-12.4905624084472,3.30449136249016e-28,1.05826079323859e-25,53.3067323828338,0.322273161354949,0.76489996720823,0.442626805853281,"7",31555516,"F","II","CCDC129","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg13220569",-0.404383081677958,0.381216095445073,-12.4859275647232,3.42571006713025e-28,1.09368445371513e-25,53.2709957304211,0.30161312661083,0.705996208288788,0.404383081677958,"12",5155343,"F","II","KCNA5","3'UTR","shore","3'UTR-shore","chr12:5153012-5154346",NA,NA,"","",""
"cg04439513",-0.442662732502001,0.572381314685271,-12.4821831224947,3.5268734580107e-28,1.12250639724823e-25,53.2421267147158,0.485242981515586,0.927905714017586,0.442662732502001,"3",98072423,"F","II","OR5K4","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg26362078",-0.442052775872226,0.485267919724991,-12.4811622503398,3.55496769762284e-28,1.12970464628903e-25,53.2342563133671,0.398249656758018,0.840302432630243,0.442052775872225,"5",27036352,"F","II","CDH9","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg07291100",-0.433750485614721,0.328150533945417,-12.4743434708363,3.74843224567618e-28,1.18479469818295e-25,53.1816908698667,0.242766580084251,0.676517065698973,0.433750485614721,"3",139812907,"R","II","CLSTN2","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg07249860",-0.43917384792992,0.576205986194016,-12.4681027592769,3.93468663939471e-28,1.24081305787781e-25,53.1335875930229,0.489754441325921,0.928928289255841,0.439173847929919,"13",36421844,"R","II","MIR548F5","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg12840719",0.512347083083735,0.4641497928754,12.4654704967531,4.01598899293014e-28,1.2645184395365e-25,53.1132998575095,0.565005517891884,0.0526584348081487,-0.512347083083735,"9",21968233,"R","II","CDKN2A","Body","shore","Body-shore","chr9:21968358-21968728",NA,TRUE,"","","rs72549205"
"cg14569837",-0.402283584436085,0.409406013480831,-12.4538238270853,4.39630874163222e-28,1.37378320155848e-25,53.0235471101658,0.330216331505224,0.732499915941308,0.402283584436084,"11",55798206,"R","II","OR5AS1","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg01227537",0.40791288332764,0.609158598322561,12.4529934358265,4.42475870253768e-28,1.38058161450941e-25,53.0171486179905,0.689456410001231,0.281543526673589,-0.407912883327642,"3",147127012,"R","I","ZIC1","TSS200","island","TSS200-island","chr3:147126988-147128999",TRUE,NA,"","",""
"cg08160063",-0.50230763479118,0.504314205202814,-12.4499743118223,4.52975330541751e-28,1.40801595566836e-25,52.9938859232895,0.405434749535259,0.907742384326439,0.50230763479118,"16",7704961,"F","II","A2BP1","Body","shore","Body-shore","chr16:7703811-7704090",NA,NA,"","",""
"cg06941009",-0.441063657639855,0.509990253648563,-12.4474975155826,4.61774085462168e-28,1.43428491374639e-25,52.9748029181847,0.423166698995049,0.864230356634903,0.441063657639854,"16",6249672,"F","II","A2BP1","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg01972751",0.478487752515653,0.467990606067027,12.4457054350378,4.68246529830012e-28,1.45220148023168e-25,52.9609960094683,0.562181108530739,0.0836933560150854,-0.478487752515653,"6",137814728,"R","I","OLIG3","1stExon","island","1stExon-island","chr6:137814355-137815202",TRUE,TRUE,"","",""
"cg16578923",-0.425797117869035,0.399316726591025,-12.4380412981236,4.96963900846731e-28,1.53549188603117e-25,52.9019537150154,0.315498396301845,0.74129551417088,0.425797117869035,"17",60838190,"R","II","MARCH10","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg06966242",-0.469464619575305,0.536776879339927,-12.426345863455,5.44208372131843e-28,1.67020545792645e-25,52.8118720600845,0.444362584147938,0.913827203723243,0.469464619575305,"1",4832432,"F","I","AJAP1","Body","island","Body-island","chr1:4832351-4832553",NA,NA,"","",""
"cg12862820",-0.441350272505743,0.524378334064863,-12.4239337428915,5.54496139608386e-28,1.69798902866968e-25,52.7932957033096,0.437498359162158,0.878848631667901,0.441350272505743,"7",83817398,"R","II","SEMA3A","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg04138756",-0.402394386416858,0.410905270223839,-12.4229661121899,5.58677434968626e-28,1.7095239395645e-25,52.7858439728187,0.331693776834694,0.734088163251552,0.402394386416858,"1",152973849,"R","II","SPRR3","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg21548131",-0.424799065916469,0.533028444153728,-12.4225985067512,5.60274151914464e-28,1.71231127945973e-25,52.7830130770376,0.449406580784344,0.874205646700813,0.424799065916469,"3",173639566,"F","II","NLGN1","Body","opensea","Body-opensea","",NA,TRUE,"","rs76096180",""
"cg10534873",-0.523693930726309,0.47950425718633,-12.4201185830603,5.71165455290618e-28,1.74256581482048e-25,52.7639159324684,0.376414900744144,0.900108831470453,0.523693930726309,"14",56591902,"R","II","PELI2","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg11392848",-0.423941047528552,0.393540596812749,-12.4076639531562,6.29141499538754e-28,1.9109640270342e-25,52.6680203176113,0.31008763470083,0.734028682229381,0.423941047528551,"8",49987774,"F","II","C8orf22","Body","opensea","Body-opensea","",NA,NA,"","rs72641628",""
"cg27135984",-0.440888845360877,0.562170359740179,-12.3978570747906,6.78893941633704e-28,2.05451835611894e-25,52.592527490475,0.475381216952605,0.916270062313482,0.440888845360877,"8",14701972,"R","II","SGCZ","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg24368848",0.483448798112979,0.482725188310539,12.3959380892685,6.89079091109828e-28,2.08076158550566e-25,52.5777569140814,0.577892274553251,0.0944434764402717,-0.48344879811298,"19",58545160,"F","I","ZSCAN1","TSS1500","island","TSS1500-island","chr19:58545115-58545897",TRUE,NA,"","rs78500470",""
"cg04498153",-0.527055958242944,0.476295349940033,-12.3945480958591,6.96551640870931e-28,2.10025085802692e-25,52.5670583722189,0.372544177057564,0.899600135300508,0.527055958242943,"7",157690139,"F","II","PTPRN2","Body","shore","Body-shore","chr7:157690559-157690770",NA,NA,"","",""
"cg13564825",0.469422881609272,0.443323513428161,12.386933710349,7.38943905669207e-28,2.22319709084129e-25,52.5084568573463,0.535729592485104,0.0663067108758313,-0.469422881609273,"19",38747201,"R","I","PPP1R14A","TSS200","island","TSS200-island","chr19:38746638-38747379",TRUE,NA,"","",""
"cg23110407",-0.490674379783311,0.502572600288539,-12.3865368224895,7.41222787083036e-28,2.22842796238191e-25,52.5054025828746,0.405983155449305,0.896657535232616,0.490674379783311,"7",31745454,"R","II","C7orf16","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg23864180",-0.53777884707636,0.458237336417945,-12.3821742094285,7.66739215169789e-28,2.30011169609054e-25,52.4718313825867,0.352375358647008,0.890154205723368,0.53777884707636,"10",1256353,"R","I","ADARB2","Body","shelf","Body-shelf","chr10:1252141-1252505",NA,NA,"","",""
"cg06131338",0.420490285195736,0.78040278681716,12.3789237407762,7.86318816880776e-28,2.35542172771096e-25,52.4468202123706,0.863176465005297,0.442686179809561,-0.420490285195736,"12",109639461,"R","II","ACACB","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg22871610",-0.413497250035472,0.575748224776958,-12.3707953754132,8.37491888328814e-28,2.49602233807628e-25,52.3842823399142,0.494351128313283,0.907848378348754,0.413497250035471,"4",56464927,"R","II","NMU","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg16281276",0.42170599294832,0.518942927882926,12.3664883857753,8.65940037150045e-28,2.5696677155661e-25,52.3511493225378,0.601955918620785,0.180249925672465,-0.42170599294832,"11",7695528,"R","I","CYB5R2","TSS1500","island","TSS1500-island","chr11:7694711-7695685",TRUE,NA,"","",""
"cg18161025",-0.471805648782017,0.522755798281934,-12.3639052245512,8.83462463565756e-28,2.61789856633668e-25,52.3312787947557,0.429880670568939,0.901686319350956,0.471805648782017,"1",177144293,"F","II","FAM5B","5'UTR","shelf","5'UTR-shelf","chr1:177140120-177140323",NA,NA,"","",""
"cg15746253",-0.411350225327272,0.408530563610559,-12.3602687898895,9.08730632338464e-28,2.6850581658854e-25,52.3033078446333,0.327556109805978,0.73890633513325,0.411350225327272,"8",133141656,"F","II","KCNQ3","Body","island","Body-island","chr8:133141565-133141816",NA,NA,"","",""
"cg06809252",0.45825078757516,0.542529363035056,12.3381777617174,1.07849185046313e-27,3.15501699979348e-25,52.1334297031367,0.632736210982923,0.174485423407761,-0.458250787575161,"1",110612044,"R","I","ALX3","Body","island","Body-island","chr1:110610265-110613303",NA,NA,"","",""
"cg04777988",-0.407062005953218,0.53155704211789,-12.333481788423,1.11847022949517e-27,3.25937883002047e-25,52.0973276135236,0.451426725985367,0.858488731938584,0.407062005953218,"4",107952897,"R","II","DKK2","Body","shelf","Body-shelf","chr4:107956555-107957453",NA,NA,"","rs4956283",""
"cg03458170",-0.47642329175927,0.489701596175005,-12.3329455918288,1.1231280678951e-27,3.26936477468906e-25,52.093205610946,0.395917483623968,0.872340775383237,0.47642329175927,"6",28962770,"F","II","ZNF311","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg05130081",-0.42899009560704,0.418791250325401,-12.3300040914564,1.14902669505436e-27,3.33768788875154e-25,52.0705936547488,0.334344381111417,0.763334476718457,0.42899009560704,"7",157867264,"R","II","PTPRN2","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg13096208",0.454577853093676,0.453340446826817,12.326391083668,1.18165427013224e-27,3.42042059648011e-25,52.0428214815123,0.542824276175966,0.08824642308229,-0.454577853093676,"18",55019843,"F","I","ST8SIA3","1stExon","island","1stExon-island","chr18:55019707-55021605",NA,NA,"","",""
"cg04436383",-0.505912448217338,0.534819924976879,-12.3255149964224,1.18970407977398e-27,3.44130665167777e-25,52.0360875460199,0.435230860367167,0.941143308584505,0.505912448217338,"4",87770357,"F","II","SLC10A6","5'UTR","opensea","5'UTR-opensea","",NA,NA,"","",""
"cg22953407",-0.449052772657701,0.490558334069043,-12.3246518481019,1.19768849526361e-27,3.46155032523216e-25,52.02945317871,0.402162118978945,0.851214891636645,0.4490527726577,"5",178408081,"F","II","GRM6","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","","rs77570319"
"cg10988187",-0.444731496264425,0.380291192666669,-12.3111065425194,1.33022254350598e-27,3.8183126302567e-25,51.925355621323,0.292745622535877,0.737477118800302,0.444731496264425,"12",71031813,"R","II","PTPRB","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg16009120",-0.471836149531829,0.455492901485359,-12.3022991447886,1.42414795437999e-27,4.06810230173556e-25,51.8576846649217,0.362611769687754,0.834447919219584,0.47183614953183,"12",8686707,"F","II","CLEC4E","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg07330196",-0.422959246849344,0.427282550920638,-12.3018381470289,1.42924246113071e-27,4.07982947826753e-25,51.8541429535298,0.344022856658956,0.766982103508301,0.422959246849344,"1",152799942,"R","II","LCE1A","TSS200","opensea","TSS200-opensea","",NA,NA,"","","rs58235635"
"cg07548313",-0.515657162104015,0.512201971699388,-12.2998462295824,1.4514650239922e-27,4.14039933998151e-25,51.8388400093494,0.410694656324581,0.926351818428596,0.515657162104015,"1",158259926,"R","II","CD1C","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg26560769",-0.467346081583814,0.37199037688269,-12.2977088836057,1.47569349547011e-27,4.20660351558401e-25,51.8224204887842,0.279993116728396,0.74733919831221,0.467346081583814,"1",177002422,"R","II","ASTN1","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg04902327",-0.426163261959068,0.450826045316259,-12.2963423733193,1.49139493359749e-27,4.24842592268804e-25,51.8119230523897,0.366935639418805,0.793098901377872,0.426163261959068,"1",248019234,"R","II","TRIM58","TSS1500","shore","TSS1500-shore","chr1:248020330-248021252",NA,NA,"","","rs12047661"
"cg15167871",-0.493628329458261,0.447289619068823,-12.294005971712,1.51862758062217e-27,4.32003464194906e-25,51.7939756473391,0.350118688073102,0.843747017531363,0.493628329458261,"10",132891371,"F","I","TCERG1L","3'UTR","shelf","3'UTR-shelf","chr10:132893428-132893688",NA,NA,"","",""
"cg22723502",0.463563248759551,0.506678673587049,12.280912998945,1.68067455787673e-27,4.75151694521967e-25,51.6934157381843,0.597931281610582,0.134368032851031,-0.463563248759552,"6",26240528,"R","I","HIST1H4F","TSS200","shore","TSS200-shore","chr6:26240697-26240951",NA,NA,"","",""
"cg25339815",-0.408784054909366,0.455072594712196,-12.2723782593814,1.79547900932453e-27,5.03125663889396e-25,51.6278794438334,0.374603292564683,0.783387347474049,0.408784054909366,"1",76572603,"R","II","ST6GALNAC3","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg04892643",-0.442038281360537,0.351261913048247,-12.2699531970789,1.82950391650502e-27,5.12312019676788e-25,51.6092600209152,0.264246503331606,0.706284784692143,0.442038281360537,"7",18906433,"F","II","HDAC9","Body","opensea","Body-opensea","",TRUE,TRUE,"","",""
"cg16692258",-0.492972177304234,0.526324278128265,-12.2653408271844,1.8960027730171e-27,5.27947233872474e-25,51.5738491691489,0.429282510942392,0.922254688246626,0.492972177304234,"21",31655822,"F","II","KRTAP24-1","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg18504937",-0.41538074978603,0.385900909290859,-12.2652825793103,1.89685779611426e-27,5.27947233872474e-25,51.5734020001546,0.30413304515975,0.71951379494578,0.41538074978603,"19",51513252,"R","II","KLK9","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg18918116",-0.511701324417936,0.539343555340535,-12.2557535132849,2.0420416582168e-27,5.63037022207836e-25,51.5002544991437,0.43861494817165,0.950316272589585,0.511701324417936,"11",7326990,"F","II","SYT9","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg05618401",-0.417001986781756,0.47741094781821,-12.253892438319,2.07166477752366e-27,5.70061613807698e-25,51.4859700821287,0.395323942546211,0.812325929327967,0.417001986781756,"7",135433760,"R","I","FAM180A","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg24166463",-0.463694610244343,0.437181349345623,-12.2387927754449,2.32840973535467e-27,6.35621956352635e-25,51.3700948963479,0.345902882762091,0.809597493006435,0.463694610244344,"11",4903155,"R","II","OR51T1","1stExon","opensea","1stExon-opensea","",NA,TRUE,"","","rs34690738"
"cg02216247",-0.524497187000049,0.536523641049328,-12.2371483849512,2.35821931256946e-27,6.43333770018494e-25,51.3574779728344,0.433276163293413,0.957773350293462,0.524497187000049,"20",61342017,"R","II","NTSR1","Body","shore","Body-shore","chr20:61339858-61341220",NA,NA,"","",""
"cg23491061",-0.4239856839057,0.493100269002869,-12.2363309695797,2.37317878758941e-27,6.46986886638247e-25,51.3512063445699,0.409638520202535,0.833624204108234,0.423985683905699,"13",36422688,"R","II","MIR548F5","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg27026371",-0.437580871848332,0.459166308261128,-12.2344177219232,2.40856411333995e-27,6.56200088530103e-25,51.3365273440741,0.37302834136185,0.810609213210183,0.437580871848332,"11",123886141,"F","II","OR10G4","TSS200","opensea","TSS200-opensea","",NA,NA,"","rs66605425",""
"cg18781372",-0.517204452863284,0.484865775920057,-12.23311293931,2.43299727812448e-27,6.61110112172637e-25,51.3265169988424,0.38305387575012,0.900258328613404,0.517204452863284,"3",38937304,"R","II","SCN11A","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg05989672",-0.417218788372446,0.455448452111655,-12.2328769112727,2.43744343601025e-27,6.61882229051312e-25,51.3247062109106,0.373318769361173,0.790537557733619,0.417218788372446,"7",153589306,"F","II","DPP6","Body","shelf","Body-shelf","chr7:153583317-153585666",NA,NA,"","",""
"cg06129712",-0.436606980717914,0.519279154020034,-12.2299918182671,2.49245057018396e-27,6.75929325207134e-25,51.3025727242449,0.433332897973201,0.869939878691115,0.436606980717914,"7",83715302,"F","II","SEMA3A","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg05887869",-0.492063570359514,0.450200299435877,-12.2273529766025,2.54384609309193e-27,6.88961379070683e-25,51.2823295513208,0.353337391884792,0.845400962244306,0.492063570359514,"5",9738648,"R","II","LOC285692","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg14119936",-0.414999900742514,0.384690543080607,-12.2218614211011,2.65421635487315e-27,7.15097202008121e-25,51.240206082192,0.302997649233655,0.717997549976168,0.414999900742513,"11",4791012,"F","II","OR51F1","1stExon","opensea","1stExon-opensea","",NA,NA,"","rs16938394",""
"cg22601108",-0.480147049696246,0.409342708023102,-12.218737498594,2.71911956801247e-27,7.32105194865111e-25,51.2162458913586,0.314825572256125,0.794972621952371,0.480147049696246,"1",158723939,"F","II","OR6K6","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg02889647",-0.471758244241529,0.478572848041921,-12.2177046222629,2.74092512678843e-27,7.37494805755263e-25,51.2083241686757,0.385707051931384,0.857465296172913,0.471758244241529,"1",152879586,"F","II","IVL","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg27662481",-0.478052899065828,0.515460033946822,-12.2154569183079,2.78898213806994e-27,7.49447649050961e-25,51.1910858208203,0.421355132555912,0.899408031621739,0.478052899065827,"2",6110280,"R","II","LOC150622","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg22812280",-0.423510657996572,0.396870112863925,-12.2114602304576,2.87651829701161e-27,7.714623820999e-25,51.1604359531876,0.313501873100821,0.737012531097392,0.423510657996572,"11",5173605,"F","II","OR52A1","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg08154437",0.469459699964673,0.429005763111317,12.2092108281866,2.92698474165755e-27,7.83468911890751e-25,51.1431868187817,0.521419089876016,0.0519593899113428,-0.469459699964674,"19",17008650,"R","I","CPAMD8","Body","island","Body-island","chr19:17007101-17008857",NA,NA,"","",""
"cg07805542",-0.432852594030824,0.374078092815593,-12.209004529246,2.93165713562368e-27,7.84210678961863e-25,51.1416048930878,0.288870889266218,0.721723483297042,0.432852594030823,"1",9779309,"R","I","PIK3CD","Body","shelf","Body-shelf","chr1:9775708-9775997",TRUE,TRUE,"","",""
"cg01244342",-0.475572595657269,0.42527020849861,-12.205225131301,3.01858409531143e-27,8.04333712027231e-25,51.1126252065551,0.331653555810172,0.80722615146744,0.475572595657268,"6",32709470,"F","II","HLA-DQA2","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg14617014",-0.416114141784304,0.511130237424285,-12.2040057885196,3.04717408771307e-27,8.1090413862837e-25,51.1032760107565,0.429218004789579,0.845332146573883,0.416114141784304,"1",87112050,"R","II","CLCA3P","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg01947943",-0.43349012053467,0.39235975316186,-12.2014073335294,3.10900440165221e-27,8.25757610330957e-25,51.0833533953397,0.307027052269208,0.740517172803878,0.43349012053467,"6",29012859,"F","II","OR2W1","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg00243661",-0.4548672125358,0.447704712153973,-12.2013244357881,3.11099741916429e-27,8.25757610330957e-25,51.0827178278115,0.358163922284721,0.813031134820521,0.454867212535799,"11",6913644,"F","II","OR2D2","1stExon","opensea","1stExon-opensea","",NA,NA,"","",""
"cg03658275",-0.417568990740408,0.444773794982833,-12.1939202651802,3.29424514138149e-27,8.71034314206526e-25,51.025955336149,0.362575174758343,0.780144165498751,0.417568990740408,"6",129285274,"F","II","LAMA2","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg19582128",-0.490785989142874,0.480724223790288,-12.1896584142728,3.40456419467194e-27,8.97327823375385e-25,50.9932867547234,0.384112808604683,0.874898797747557,0.490785989142874,"13",39265218,"F","II","FREM2","1stExon","shelf","1stExon-shelf","chr13:39261236-39262299",NA,NA,"","rs78099370",""
"cg01867950",-0.52635657700448,0.478783970012717,-12.1880730941338,3.44653429191301e-27,9.07809649592957e-25,50.9811354647189,0.375170470602387,0.901527047606866,0.52635657700448,"8",133722893,"F","II","TMEM71","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg18631301",-0.517578111124262,0.454307674341712,-12.1822572409717,3.60497174641633e-27,9.45375874702875e-25,50.9365611059315,0.352422219395991,0.870000330520254,0.517578111124262,"5",15521782,"R","II","FBXL7","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg04625905",-0.43806160652005,0.549031590255138,-12.1691688203976,3.98860470936493e-27,1.03710022757754e-24,50.8362676690986,0.462798990546466,0.900860597066516,0.438061606520049,"5",160280216,"F","II","ATP10B","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg00230837",-0.491584985733319,0.489825961954223,-12.1666050111643,4.0683908694073e-27,1.05476677196982e-24,50.8166250568217,0.393057263975223,0.884642249708542,0.491584985733319,"5",9714909,"F","II","LOC285692","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg14644001",0.510092056799342,0.509938696259568,12.1646884976484,4.12907098689333e-27,1.06848389569934e-24,50.8019423933738,0.610350518464163,0.10025846166482,-0.510092056799342,"6",32116653,"R","I","PRRT1","3'UTR","island","3'UTR-island","chr6:32116590-32117229",NA,NA,"","",""
"cg22578926",-0.400843791122145,0.382965314993566,-12.1625256708233,4.19863457127422e-27,1.08376532327519e-24,50.7853734065779,0.304059056898656,0.7049028480208,0.400843791122144,"7",157437844,"F","II","PTPRN2","Body","shelf","Body-shelf","chr7:157440024-157442721",NA,NA,"","",""
"cg02703002",-0.42225052747091,0.45936727503516,-12.155710233166,4.42557818579346e-27,1.13383038239396e-24,50.7331666608386,0.376247092462146,0.798497619933056,0.42225052747091,"5",161112530,"F","II","GABRA6","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg27468419",-0.434436236559728,0.370533845917615,-12.1539030782336,4.48777903217439e-27,1.14905250339561e-24,50.7193249901875,0.285014901712944,0.719451138272672,0.434436236559728,"8",57309109,"R","II","SDR16C6","TSS1500","opensea","TSS1500-opensea","",NA,NA,"","",""
"cg11570286",-0.469770117498533,0.535201469524673,-12.151491459891,4.57214522070561e-27,1.16920212819707e-24,50.7008543381341,0.442727036946221,0.912497154444754,0.469770117498533,"7",82385343,"F","II","PCLO","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg12402831",-0.523322647486702,0.4859867726386,-12.1508194409483,4.59593514357575e-27,1.17455757370339e-24,50.6957074951434,0.382970503448304,0.906293150935006,0.523322647486701,"1",242605061,"F","II","PLD5","5'UTR","opensea","5'UTR-opensea","",NA,TRUE,"","",""
"cg15756928",-0.461499956824674,0.498081342101974,-12.1468653279735,4.7384347839225e-27,1.20649031981922e-24,50.6654253183594,0.407234893908141,0.868734850732814,0.461499956824674,"6",55267138,"R","II","GFRAL","3'UTR","opensea","3'UTR-opensea","",NA,NA,"","",""
"cg27442580",-0.457757970323768,0.512236240374209,-12.1427087685055,4.89298304360521e-27,1.24200771619035e-24,50.6335954769221,0.422126403696302,0.87988437402007,0.457757970323768,"6",97797349,"F","II","MIR548H3","Body","opensea","Body-opensea","",NA,TRUE,"","",""
"cg22519571",-0.440630348319588,0.476310078960151,-12.1420334627024,4.91856256882002e-27,1.24773284560237e-24,50.6284244289201,0.389571821416925,0.830202169736513,0.440630348319587,"7",158255029,"F","II","PTPRN2","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg26800893",-0.406569088340254,0.43418020413395,-12.1400178079022,4.99570825967804e-27,1.26264383496339e-24,50.6129903127464,0.3541469190276,0.760716007367854,0.406569088340254,"11",67184596,"R","II","ATPGD1","5'UTR","shore","5'UTR-shore","chr11:67182965-67183393",NA,TRUE,"","",""
"cg03517998",-0.415969766972885,0.349463365534967,-12.1150189774721,6.0589783180913e-27,1.51284106272677e-24,50.4216266042955,0.26757955313873,0.683549320111615,0.415969766972885,"7",38726758,"R","II","FAM183B","TSS200","opensea","TSS200-opensea","",NA,NA,"","",""
"cg11595545",0.480246681248362,0.427629709026555,12.1147172634271,6.0731016962019e-27,1.5154501274961e-24,50.419317639805,0.522166457303792,0.0419197760554296,-0.480246681248362,"1",111217497,"F","I","KCNA3","1stExon","island","1stExon-island","chr1:111216244-111217937",NA,NA,"high-CpG:111018929-111019179","",""
"cg14582691",-0.466636985863827,0.49776983143498,-12.102662748194,6.66506637925188e-27,1.65018802231704e-24,50.3270788703506,0.405912157052337,0.872549142916164,0.466636985863827,"7",157695026,"R","II","PTPRN2","Body","island","Body-island","chr7:157695025-157695358",NA,NA,"","","rs11762147"
"cg04737845",-0.478571967256159,0.517965845292613,-12.0921293123096,7.22924630113662e-27,1.7823829907586e-24,50.2464988239203,0.423758765124078,0.902330732380236,0.478571967256159,"3",3097738,"R","II","CNTN4","Body","opensea","Body-opensea","",NA,NA,"","",""
"cg19335742",-0.472487567331993,0.479407683771166,-12.0899059139102,7.35428967650882e-27,1.8088877519714e-24,50.2294923402272,0.386398320123136,0.858885887455129,0.472487567331993,"15",40566880,"F","I","PAK6","Body","opensea","Body-opensea","",NA,NA,"","",""
